Iteration,Loss
0,14.2806
40,2.11595
80,1.2299
120,1.01026
160,0.932358
200,0.90516
240,0.847237
280,0.703508
320,0.67167
360,0.682983
400,0.631614
440,0.772765
480,0.570702
520,0.62912
560,0.620159
600,0.621004
640,0.504458
680,0.631038
720,0.517542
760,0.615004
800,0.512323
840,0.607584
880,0.543044
920,0.614103
960,0.64048
1000,0.661622
1040,0.626762
1080,0.624457
1120,0.498851
1160,0.547534
1200,0.520425
1240,0.483716
1280,0.48776
1320,0.489692
1360,0.499849
1400,0.500648
1440,0.438461
1480,0.51491
1520,0.45051
1560,0.463379
1600,0.445284
1640,0.462566
1680,0.430606
1720,0.434457
1760,0.41933
1800,0.462094
1840,0.420421
1880,0.422605
1920,0.405039
1960,0.473979
2000,0.448511
2040,0.407001
2080,0.379304
2120,0.394052
2160,0.355749
2200,0.411744
2240,0.426114
2280,0.437694
2320,0.320906
2360,0.345697
2400,0.334875
2440,0.366524
2480,0.36555
2520,0.416719
2560,0.308196
2600,0.360242
2640,0.296824
2680,0.354542
2720,0.308097
2760,0.382416
2800,0.316376
2840,0.324967
2880,0.305191
2920,0.315593
2960,0.333297
3000,0.274367
3040,0.363258
3080,0.261871
3120,0.319089
3160,0.304837
3200,0.315526
3240,0.278514
3280,0.324898
3320,0.275687
3360,0.287836
3400,0.268343
3440,0.30045
3480,0.241668
3520,0.277161
3560,0.262848
3600,0.279771
3640,0.288154
3680,0.271455
3720,0.196004
3760,0.266015
3800,0.175044
3840,0.272278
3880,0.2153
3920,0.300831
3960,0.195712
4000,0.24822
4040,0.171093
4080,0.243547
4120,0.26229
4160,0.243233
4200,0.218053
4240,0.240038
4280,0.176581
4320,0.257118
4360,0.147282
4400,0.207971
4440,0.202048
4480,0.235273
4520,0.222173
4560,0.167799
4600,0.196165
4640,0.156509
4680,0.177408
4720,0.162601
4760,0.176778
4800,0.207575
4840,0.203989
4880,0.20938
4920,0.147491
4960,0.194822
5000,0.265862
5040,0.266593
5080,0.228003
5120,0.243649
5160,0.177011
5200,0.232667
5240,0.144593
5280,0.22368
5320,0.158539
5360,0.205646
5400,0.104895
5440,0.149143
5480,0.129324
5520,0.162077
5560,0.120819
5600,0.192392
5640,0.136623
5680,0.162334
5720,0.138837
5760,0.145854
5800,0.0733871
5840,0.0974174
5880,0.174777
5920,0.255341
5960,0.183682
6000,0.160934
6040,0.114616
6080,0.179636
6120,0.20574
6160,0.107329
6200,0.0913045
6240,0.102054
6280,0.113666
6320,0.0956767
6360,0.0909257
6400,0.0867144
6440,0.106713
6480,0.0840496
6520,0.108483
6560,0.0899614
6600,0.0837821
6640,0.102781
6680,0.15934
6720,0.104658
6760,0.0706894
6800,0.0731726
6840,0.0715786
6880,0.0732321
6920,0.0520706
6960,0.107607
7000,0.197218
7040,0.122049
7080,0.0763197
7120,0.0820939
7160,0.0614803
7200,0.0485756
7240,0.0704733
7280,0.109301
7320,0.112407
7360,0.11804
7400,0.0838465
7440,0.0740683
7480,0.133747
7520,0.0778851
7560,0.06294
7600,0.0528956
7640,0.046697
7680,0.0292801
7720,0.0174181
7760,0.036327
7800,0.206175
7840,0.198065
7880,0.140309
7920,0.273853
7960,0.159984
8000,0.0746673
8040,0.0533631
8080,0.0738318
8120,0.0728957
8160,0.14447
8200,0.140293
8240,0.0841307
8280,0.0677931
8320,0.0621272
8360,0.0759413
8400,0.0700469
8440,0.132735
8480,0.0534821
8520,0.0874241
8560,0.0640069
8600,0.0445125
8640,0.0737755
8680,0.0397992
8720,0.0338774
8760,0.0186785
8800,0.199381
8840,0.100828
8880,0.162954
8920,0.0816722
8960,0.117107
9000,0.113849
9040,0.0677211
9080,0.0704964
9120,0.0899378
9160,0.0609627
9200,0.0471086
9240,0.062946
9280,0.066153
9320,0.0336712
9360,0.0183982
9400,0.0343903
9440,0.0269843
9480,0.00709033
9520,0.0128817
9560,0.0118393
9600,0.0355919
9640,0.0280203
9680,0.0375807
9720,0.0190088
9760,0.0321154
9800,0.037569
9840,0.025256
9880,0.0639
9920,0.124137
9960,0.0571506
10000,0.0609496
