Iteration,Loss
0,6.8976
40,0.57965
80,0.526808
120,0.543224
160,0.465964
200,0.359534
240,0.765699
280,0.469763
320,0.284833
360,0.303031
400,0.207118
440,0.185857
480,0.247954
520,0.111148
560,0.107279
600,0.0576675
640,0.104952
680,0.0531247
720,0.0427451
760,0.114318
800,0.0212957
840,0.0505143
880,0.0411499
920,0.019785
960,0.00761945
1000,0.00291427
1040,0.0275608
1080,0.0147035
1120,0.0156692
1160,0.00706307
1200,0.0123584
1240,0.00451705
1280,0.0043152
1320,0.00394688
1360,0.00385504
1400,0.0150353
1440,0.000185392
1480,0.0128933
1520,0.0100831
1560,0.020477
1600,0.00474074
1640,0.00276295
1680,0.000532761
1720,0.0010175
1760,0.000675955
1800,0.0136476
1840,0.000639736
1880,0.000133483
1920,0.00121482
1960,0.00908998
2000,0.00137954
2040,0.018468
2080,0.00272442
2120,0.000399042
2160,0.00343075
2200,0.00412204
2240,0.000286111
2280,0.000449232
2320,0.000333068
2360,4.02289e-05
2400,9.80319e-05
2440,8.727e-05
2480,0.0109544
2520,0.000284113
2560,3.39778e-05
2600,0.00141499
2640,0.00100949
2680,9.38487e-05
2720,6.4289e-05
2760,0.000161794
2800,6.39886e-05
2840,9.69552e-05
2880,0.000247725
2920,0.000632837
2960,2.60295e-05
3000,8.99222e-05
3040,1.69119e-05
3080,3.40799e-05
3120,2.39668e-05
3160,5.62861e-05
3200,4.49733e-05
3240,2.78041e-05
3280,5.40294e-05
3320,6.486e-05
3360,3.8698e-05
3400,3.27623e-05
3440,0.000605989
3480,5.64593e-05
3520,0.000779149
3560,0.00012011
3600,5.20884e-05
3640,9.7385e-05
3680,2.66851e-05
3720,4.18151e-05
3760,6.87034e-05
3800,2.60208e-05
3840,1.77969e-05
3880,2.34022e-05
3920,2.66359e-05
3960,5.52103e-05
4000,0.000112182
4040,7.05355e-05
4080,3.35918e-05
4120,1.40369e-05
4160,1.56614e-05
4200,0.00021595
4240,1.65665e-05
4280,5.76291e-05
4320,5.93363e-05
4360,4.26853e-05
4400,0.000106724
4440,1.39012e-05
4480,0.000139872
4520,0.000139599
4560,0.00119322
4600,3.6954e-05
4640,3.79368e-05
4680,1.38925e-05
4720,4.82348e-05
4760,2.31878e-05
4800,0.000200942
4840,6.53158e-05
4880,1.36888e-05
4920,0.000375555
4960,4.04494e-05
5000,0.000133904
5040,2.22334e-05
5080,3.2355e-05
5120,3.50382e-05
5160,2.21707e-05
5200,1.37152e-05
5240,6.80974e-05
5280,5.6773e-05
5320,1.25766e-05
5360,2.05978e-05
5400,0.000211856
5440,0.00012175
5480,5.54899e-05
5520,7.8029e-05
5560,7.56729e-05
5600,1.34079e-05
5640,6.31484e-05
5680,2.31027e-05
5720,2.69385e-05
5760,2.25532e-05
5800,3.45148e-05
5840,0.000119925
5880,0.000161963
5920,3.90118e-05
5960,2.01445e-05
6000,7.77363e-05
6040,0.00069585
6080,1.21137e-05
6120,5.17105e-05
6160,1.77576e-05
6200,1.92611e-05
6240,7.41113e-06
6280,4.89934e-05
6320,3.31309e-05
6360,4.29051e-05
6400,1.63217e-05
6440,2.76279e-05
6480,1.11876e-05
6520,4.23891e-05
6560,2.62067e-05
6600,3.91072e-05
6640,2.14059e-05
6680,1.71094e-05
6720,6.88762e-05
6760,1.59235e-05
6800,1.98155e-05
6840,2.95271e-05
6880,0.000319421
6920,1.98074e-05
6960,3.90946e-05
7000,0.000143204
7040,7.51153e-05
7080,4.49448e-05
7120,4.77829e-05
7160,5.94131e-05
7200,2.38273e-05
7240,0.000150056
7280,1.20248e-05
7320,5.17227e-05
7360,2.19172e-05
7400,7.59568e-05
7440,4.39473e-05
7480,3.34076e-05
7520,1.64022e-05
7560,1.56614e-05
7600,9.93709e-06
7640,1.06837e-05
7680,7.07633e-06
7720,1.67025e-05
7760,3.56439e-05
7800,0.000243462
7840,2.23052e-05
7880,1.41612e-05
7920,2.33656e-05
7960,1.75494e-05
8000,1.64502e-05
8040,4.61259e-06
8080,8.89508e-06
8120,0.000190541
8160,2.69653e-05
8200,2.91099e-05
8240,0.00121905
8280,5.5371e-05
8320,7.08066e-05
8360,7.80521e-05
8400,9.27017e-05
8440,1.03631e-05
8480,9.10379e-05
8520,1.57578e-05
8560,2.89277e-05
8600,2.31825e-05
8640,9.02757e-06
8680,0.00041922
8720,0.000141546
8760,2.22066e-05
8800,4.93564e-05
8840,0.00106065
8880,5.1791e-05
8920,6.14259e-05
8960,7.29934e-06
9000,1.34533e-05
9040,1.34917e-05
9080,2.17264e-05
9120,5.91201e-05
9160,6.39514e-05
9200,9.02263e-05
9240,5.38898e-05
9280,0.000111018
9320,2.783e-05
9360,1.49562e-05
9400,5.66106e-06
9440,8.24685e-05
9480,2.8544e-05
9520,4.63018e-05
9560,2.34961e-05
9600,2.23904e-05
9640,6.27337e-05
9680,2.59864e-05
9720,4.18675e-05
9760,7.69625e-05
9800,7.66875e-06
9840,3.08294e-05
9880,2.48335e-05
9920,3.43609e-05
9960,4.29171e-05
10000,3.36622e-05
