Iteration,Loss
0,6.93038
40,0.824757
80,0.344953
120,0.270298
160,0.250517
200,0.178914
240,0.117102
280,0.121031
320,0.0369464
360,0.0396704
400,0.00988715
440,0.0851228
480,0.0212071
520,0.00472228
560,0.0048758
600,0.00233549
640,0.000383025
680,0.000401809
720,0.000113294
760,0.00032894
800,0.000121221
840,9.25659e-05
880,0.000118293
920,0.000190104
960,3.98572e-05
1000,7.02905e-05
1040,0.00034482
1080,9.19509e-05
1120,4.55157e-05
1160,5.42612e-05
1200,6.28651e-05
1240,6.68579e-05
1280,8.75439e-05
1320,3.62961e-05
1360,6.63147e-05
1400,5.68476e-05
1440,9.28095e-05
1480,8.2159e-05
1520,3.59009e-05
1560,0.000117083
1600,5.93831e-05
1640,7.0856e-05
1680,4.44602e-05
1720,0.000452268
1760,5.11506e-05
1800,4.06226e-05
1840,3.31839e-05
1880,4.08926e-05
1920,2.56293e-05
1960,7.49284e-05
2000,4.9199e-05
2040,3.88236e-05
2080,2.85735e-05
2120,5.34183e-05
2160,7.30713e-05
2200,5.32732e-05
2240,3.01116e-05
2280,3.4128e-05
2320,6.87525e-05
2360,0.000120237
2400,2.68126e-05
2440,3.72705e-05
2480,4.84518e-05
2520,8.05568e-05
2560,4.8917e-05
2600,4.93922e-05
2640,5.73447e-05
2680,0.000109558
2720,0.000236869
2760,3.99504e-05
2800,4.1157e-05
2840,5.0359e-05
2880,7.42187e-05
2920,3.68956e-05
2960,3.61308e-05
3000,6.05517e-05
3040,5.00248e-05
3080,8.96709e-05
3120,3.35469e-05
3160,0.000179091
3200,7.32401e-05
3240,7.69414e-05
3280,7.05488e-05
3320,3.51061e-05
3360,4.75073e-05
3400,8.9819e-05
3440,5.87524e-05
3480,3.07111e-05
3520,0.000142068
3560,8.54465e-05
3600,4.22555e-05
3640,6.57592e-05
3680,3.8381e-05
3720,3.62836e-05
3760,7.19402e-05
3800,8.19489e-05
3840,3.84847e-05
3880,4.6034e-05
3920,8.95897e-05
3960,4.18647e-05
4000,0.000102255
4040,3.10414e-05
4080,6.47068e-05
4120,8.52964e-05
4160,6.00042e-05
4200,2.12892e-05
4240,8.05519e-05
4280,5.64116e-05
4320,7.65467e-05
4360,9.63986e-05
4400,5.3089e-05
4440,4.95294e-05
4480,4.2467e-05
4520,5.59511e-05
4560,6.54645e-05
4600,5.25537e-05
4640,0.000109224
4680,6.74211e-05
4720,0.000108367
4760,3.08004e-05
4800,4.54535e-05
4840,0.000101796
4880,8.17951e-05
4920,4.65626e-05
4960,3.96026e-05
5000,5.66549e-05
5040,4.2738e-05
5080,5.51183e-05
5120,3.41435e-05
5160,3.09663e-05
5200,7.15616e-05
5240,7.44006e-05
5280,4.57423e-05
5320,2.48116e-05
5360,8.91946e-05
5400,2.33746e-05
5440,8.43016e-05
5480,3.63994e-05
5520,0.000113628
5560,8.00691e-05
5600,6.10275e-05
5640,5.71748e-05
5680,3.69477e-05
5720,5.40003e-05
5760,0.000103773
5800,5.87894e-05
5840,7.36437e-05
5880,6.57395e-05
5920,6.50976e-05
5960,7.79295e-05
6000,3.56048e-05
6040,3.28887e-05
6080,5.57202e-05
6120,6.85869e-05
6160,6.162e-05
6200,2.77425e-05
6240,6.0283e-05
6280,7.90087e-05
6320,6.20458e-05
6360,3.81416e-05
6400,5.36062e-05
6440,0.00010426
6480,5.57786e-05
6520,4.09165e-05
6560,2.73588e-05
6600,0.000137046
6640,4.08518e-05
6680,3.84421e-05
6720,5.25327e-05
6760,2.66423e-05
6800,5.93499e-05
6840,4.20119e-05
6880,5.52608e-05
6920,4.26272e-05
6960,0.000278025
7000,7.50906e-05
7040,5.4331e-05
7080,3.19404e-05
7120,2.3973e-05
7160,0.000110626
7200,5.38469e-05
7240,3.75094e-05
7280,2.5797e-05
7320,3.30204e-05
7360,0.000108952
7400,7.43382e-05
7440,3.57225e-05
7480,2.03107e-05
7520,5.31409e-05
7560,5.26673e-05
7600,5.70605e-05
7640,6.01138e-05
7680,7.71034e-05
7720,3.93669e-05
7760,3.85259e-05
7800,4.02401e-05
7840,2.63067e-05
7880,8.22287e-05
7920,7.20451e-05
7960,7.55757e-05
8000,4.63764e-05
8040,7.14991e-05
8080,4.50095e-05
8120,4.13125e-05
8160,2.98462e-05
8200,5.14701e-05
8240,6.89233e-05
8280,7.24212e-05
8320,0.000104282
8360,2.71984e-05
8400,4.98588e-05
8440,0.000158731
8480,7.15455e-05
8520,3.36116e-05
8560,4.4121e-05
8600,0.000155953
8640,4.11976e-05
8680,0.000125418
8720,0.000104795
8760,1.5759e-05
8800,6.94007e-05
8840,6.52353e-05
8880,3.90324e-05
8920,5.90404e-05
8960,9.28346e-05
9000,3.39452e-05
9040,6.94158e-05
9080,3.13217e-05
9120,7.19514e-05
9160,9.33916e-05
9200,6.23688e-05
9240,4.77903e-05
9280,5.47379e-05
9320,7.67134e-05
9360,7.29409e-05
9400,4.23525e-05
9440,4.8515e-05
9480,5.61335e-05
9520,9.73836e-05
9560,0.000101327
9600,3.98495e-05
9640,4.78634e-05
9680,0.000167709
9720,7.44859e-05
9760,4.8489e-05
9800,3.86686e-05
9840,7.7324e-05
9880,8.09245e-05
9920,3.35266e-05
9960,4.96277e-05
10000,0.000108626
