Iteration,Loss,Accuracy
0,0.695052,0.53
100,0.695052,0.57
200,0.674934,0.6
300,0.674934,0.61
400,0.702018,0.75
500,0.702018,0.73
600,0.665628,0.76
700,0.665628,0.82
800,0.524935,0.85
900,0.524935,0.84
1000,0.519333,0.9
1100,0.519333,0.86
1200,0.474732,0.93
1300,0.474732,0.93
1400,0.441219,0.93
1500,0.441219,0.92
1600,0.313819,0.94
1700,0.313819,0.91
1800,0.340901,0.89
1900,0.340901,0.95
2000,0.255967,0.9
2100,0.255967,0.96
2200,0.31239,0.96
2300,0.31239,0.95
2400,0.219856,0.96
2500,0.219856,0.91
2600,0.172677,0.95
2700,0.172677,0.94
2800,0.222661,0.98
2900,0.222661,0.96
3000,0.187949,0.97
3100,0.187949,0.99
3200,0.15445,0.99
3300,0.15445,0.98
3400,0.192662,0.99
3500,0.192662,0.99
3600,0.269556,1.0
3700,0.269556,0.96
3800,0.14163,0.98
3900,0.14163,0.99
4000,0.230404,1.0
4100,0.230404,0.99
4200,0.0945813,0.98
4300,0.0945813,0.99
4400,0.0967757,0.99
4500,0.0967757,0.99
4600,0.116131,0.99
4700,0.116131,1.0
4800,0.140545,1.0
4900,0.140545,1.0
5000,0.259743,1.0
5100,0.259743,1.0
5200,0.152055,1.0
5300,0.152055,1.0
5400,0.193646,0.99
5500,0.193646,1.0
5600,0.0830173,1.0
5700,0.0830173,1.0
5800,0.0722791,1.0
5900,0.0722791,1.0
6000,0.083089,1.0
6100,0.083089,1.0
6200,0.0657976,1.0
6300,0.0657976,1.0
6400,0.0461947,1.0
6500,0.0461947,1.0
6600,0.0624187,1.0
6700,0.0624187,1.0
6800,0.0360415,1.0
6900,0.0360415,1.0
7000,0.0416461,1.0
7100,0.0416461,1.0
7200,0.0367082,1.0
7300,0.0367082,1.0
7400,0.0931427,1.0
7500,0.0931427,1.0
7600,0.0388208,1.0
7700,0.0388208,1.0
7800,0.058241,1.0
7900,0.058241,1.0
8000,0.0153762,1.0
8100,0.0153762,1.0
8200,0.0276568,1.0
8300,0.0276568,1.0
8400,0.0588778,1.0
8500,0.0588778,1.0
8600,0.0328462,1.0
8700,0.0328462,1.0
8800,0.0197887,1.0
8900,0.0197887,1.0
9000,0.0279362,1.0
9100,0.0279362,1.0
9200,0.023733,1.0
9300,0.023733,1.0
9400,0.00879413,1.0
9500,0.00879413,1.0
9600,0.00940735,1.0
9700,0.00940735,1.0
9800,0.00646905,1.0
9900,0.00646905,1.0
