Iteration,Loss,Accuracy
0,0.633771,0.75
100,0.633771,0.375
200,0.678272,0.75
300,0.678272,0.625
400,0.476586,0.625
500,0.476586,0.5
600,0.5919,0.5625
700,0.5919,0.75
800,0.678662,0.5625
900,0.678662,0.4375
1000,0.693202,0.4375
1100,0.693202,0.375
1200,0.689801,0.5
1300,0.689801,0.3125
1400,0.677102,0.5
1500,0.677102,0.5625
1600,0.687417,0.625
1700,0.687417,0.5
1800,0.698755,0.5625
1900,0.698755,0.4375
2000,0.697888,0.75
2100,0.697888,0.3125
2200,0.700317,0.125
2300,0.700317,0.3125
2400,0.693275,0.5
2500,0.693275,0.5
2600,0.704303,0.5625
2700,0.704303,0.625
2800,0.694424,0.4375
2900,0.694424,0.375
3000,0.68788,0.625
3100,0.68788,0.5
3200,0.692172,0.8125
3300,0.692172,0.4375
3400,0.693565,0.5625
3500,0.693565,0.625
3600,0.69275,0.375
3700,0.69275,0.5625
3800,0.696252,0.5625
3900,0.696252,0.75
4000,0.677763,0.4375
4100,0.677763,0.5
4200,0.715618,0.5625
4300,0.715618,0.5625
4400,0.712609,0.5625
4500,0.712609,0.375
4600,0.702186,0.4375
4700,0.702186,0.4375
4800,0.693163,0.375
4900,0.693163,0.5
5000,0.693267,0.625
5100,0.693267,0.5
5200,0.688987,0.625
5300,0.688987,0.375
5400,0.684076,0.1875
5500,0.684076,0.625
5600,0.69882,0.5
5700,0.69882,0.625
5800,0.703664,0.5
5900,0.703664,0.5625
6000,0.68419,0.375
6100,0.68419,0.375
6200,0.693896,0.75
6300,0.693896,0.5
6400,0.669795,0.75
6500,0.669795,0.5
6600,0.698686,0.5625
6700,0.698686,0.5625
6800,0.689096,0.4375
6900,0.689096,0.4375
7000,0.684352,0.5
7100,0.684352,0.6875
7200,0.703339,0.4375
7300,0.703339,0.5625
7400,0.68914,0.5
7500,0.68914,0.5
7600,0.689152,0.5625
7700,0.689152,0.4375
7800,0.675116,0.375
7900,0.675116,0.375
8000,0.698512,0.3125
8100,0.698512,0.4375
8200,0.693838,0.5
8300,0.693838,0.375
8400,0.689207,0.5
8500,0.689207,0.3125
8600,0.68922,0.3125
8700,0.68922,0.5625
8800,0.689232,0.5
8900,0.689232,0.5
9000,0.702959,0.5
9100,0.702959,0.5625
9200,0.698367,0.3125
9300,0.698367,0.375
9400,0.698346,0.875
9500,0.698346,0.5625
9600,0.702835,0.75
9700,0.702835,0.625
9800,0.693794,0.5625
9900,0.693794,0.5625
