Iteration,Loss
0,2.32833
100,0.534675
200,0.354384
300,0.460993
400,0.424997
500,0.176684
600,0.184227
700,0.159494
800,0.0744023
900,0.0341717
1000,0.0179512
1100,0.0237421
1200,0.0431562
1300,0.0660585
1400,0.0418884
1500,0.00980103
1600,0.00205887
1700,0.00343322
1800,0.00370313
1900,0.00122923
2000,0.00187737
2100,0.0023408
2200,0.00284786
2300,0.00482375
2400,0.00168804
2500,0.00154194
2600,0.00106874
2700,0.00353943
2800,0.00160796
2900,0.00213359
3000,0.00130784
3100,0.00149086
3200,0.00137078
3300,0.00262465
3400,0.00164185
3500,0.00168488
3600,0.00168672
3700,0.00298134
3800,0.00185719
3900,0.0016141
4000,0.00150593
4100,0.00112086
4200,0.00197853
4300,0.00152567
4400,0.00199944
4500,0.00109458
4600,0.00117672
4700,0.00253193
4800,0.00101149
4900,0.00134219
5000,0.00141233
5100,0.00207792
5200,0.00303631
5300,0.00138929
5400,0.00139086
5500,0.00116741
5600,0.00292748
5700,0.00124969
5800,0.00171356
5900,0.00106979
6000,0.00142445
6100,0.00154909
6200,0.00200306
6300,0.00148325
6400,0.00166908
6500,0.00160298
6600,0.00232154
6700,0.00127287
6800,0.00136777
6900,0.00125491
7000,0.00206937
7100,0.00146538
7200,0.00162301
7300,0.00183032
7400,0.00103175
7500,0.00128735
7600,0.00264373
7700,0.00122107
7800,0.00141126
7900,0.00177538
8000,0.00185191
8100,0.00239375
8200,0.00145781
8300,0.00132961
8400,0.00128516
8500,0.00266477
8600,0.0013834
8700,0.00204174
8800,0.000838263
8900,0.00142201
9000,0.00170368
9100,0.00126437
9200,0.00143143
9300,0.00198472
9400,0.00186479
9500,0.00272172
9600,0.00146225
9700,0.00133047
9800,0.0011781
9900,0.0024122
10000,0.00150358
