Iteration,Loss
0,1.09175
100,0.311746
200,0.222773
300,0.119418
400,0.050228
500,0.0954385
600,0.054221
700,0.0251223
800,0.00125823
900,0.00267201
1000,0.00111586
1100,0.00120889
1200,0.000745358
1300,0.000626593
1400,0.000448193
1500,0.00106483
1600,0.00166604
1700,0.000316229
1800,0.00110525
1900,0.000570567
2000,0.000972312
2100,0.000667662
2200,0.000944618
2300,0.000806124
2400,0.000557696
2500,0.00064415
2600,0.000822597
2700,0.000332227
2800,0.000333966
2900,0.000757695
3000,0.000739737
3100,0.000770481
3200,0.000698124
3300,0.000936393
3400,0.000628388
3500,0.000721929
3600,0.000564282
3700,0.000403686
3800,0.000792119
3900,0.00051908
4000,0.00056831
4100,0.000473302
4200,0.000507553
4300,0.000358167
4400,0.000794713
4500,0.00111445
4600,0.000282371
4700,0.000672717
4800,0.000479586
4900,0.000821727
5000,0.000525866
5100,0.000681014
5200,0.000701814
5300,0.000323475
5400,0.000466631
5500,0.000720207
5600,0.000352563
5700,0.000294851
5800,0.000780775
5900,0.000927624
6000,0.000630795
6100,0.000628162
6200,0.000554474
6300,0.000532845
6400,0.00066616
6500,0.000982045
6600,0.000452397
6700,0.000667113
6800,0.000616705
6900,0.000730304
7000,0.000471157
7100,0.000484864
7200,0.000512881
7300,0.000619989
7400,0.00122925
7500,0.000427878
7600,0.00075859
7700,0.000390573
7800,0.00072807
7900,0.000535937
8000,0.000655558
8100,0.000752721
8200,0.000348158
8300,0.000706039
8400,0.00066803
8500,0.000435943
8600,0.000321027
8700,0.00087469
8800,0.00110954
8900,0.000515358
9000,0.000577059
9100,0.000531519
9200,0.000639016
9300,0.000564532
9400,0.000851332
9500,0.000596642
9600,0.000614558
9700,0.000593878
9800,0.000798016
9900,0.000390864
10000,0.000390923
